	mean	var	fano	expected_fano	high_var	fano_ratio
Gene1	6.161360027066485e-06	5.882796288044974e-09	0.0009547885957324685	0.0009855569548653216	False	0.9687807396812925
Gene2	0.00012941766745843617	1.3231209671101243e-07	0.001022365024106974	0.0010238376129514317	False	0.9985616968688885
Gene3	1.4279149407830544e-05	1.810764248223486e-08	0.00126811772641757	0.0009880781590631117	False	1.2834184368774932
Gene4	2.143271172030511e-05	2.5762098119832253e-08	0.0012019990030204871	0.0009902998958544237	False	1.2137727248606958
Gene5	6.674877405292472e-05	5.636816312527597e-08	0.0008444823732729829	0.0010043740533893617	False	0.8408046488488943
Gene6	6.782054134255535e-05	6.728959351303108e-08	0.0009921712829326665	0.0010047069203883595	False	0.9875230903646534
Gene9	7.138181452537043e-06	7.535786864315458e-09	0.001055701219480362	0.0009858603337980422	False	1.070842576060705
Gene10	7.257977640832575e-06	6.366646662555948e-09	0.0008771929286111192	0.0009858975398203524	False	0.8897404579901467
Gene11	5.2257345914976904e-05	6.345787742371164e-08	0.0012143341058108478	0.0009998733392491373	False	1.214487933764452
Gene13	1.7574185289456894e-06	1.1028559659361333e-09	0.0006275431536492099	0.0009841891889291671	False	0.637624514380207
Gene14	0.0001352429224077982	1.933560639699489e-07	0.0014296945121233188	0.0010256468071227329	False	1.393944291733398
Gene15	2.9343534004492843e-05	3.390984324365642e-08	0.0011556155178331425	0.0009927568206913905	False	1.1640469183866513
Gene16	5.063042002293562e-06	4.368920877456004e-09	0.0008629043321143454	0.000985215841800584	False	0.8758530826476544
Gene18	5.1343439115830055e-05	4.456524452593505e-08	0.0008679832378465437	0.0009995895001951385	False	0.8683396911203021
Gene19	1.4993109704918152e-06	1.3816446202630251e-09	0.0009215197163599808	0.0009841090264823074	False	0.9364000243488755
Gene20	1.8909547106910734e-05	2.2122095943587896e-08	0.0011698903108844471	0.0009895162572409262	False	1.182285083568469
Gene21	2.515282330110404e-05	1.9332476236834664e-08	0.0007686006459555614	0.0009914552794809048	False	0.7752247245664745
Gene22	1.4226168659596862e-06	9.677750751592869e-10	0.0006802780835207049	0.0009840852070052031	False	0.691279656149844
Gene24	1.3489482536498807e-06	1.3484395782191105e-09	0.0009996229096042833	0.000984062327178456	False	1.0158125984463233
Gene26	1.3243628039670257e-05	1.1021146681905072e-08	0.0008321848551538963	0.000987756549238337	False	0.8424999619547928
Gene27	1.2794538157152533e-05	1.4188671636641506e-08	0.0011089631733764154	0.0009876170719442263	False	1.1228675616079689
Gene28	0.00011702176696457845	1.1544799487819301e-07	0.0009865514585259867	0.0010199877229266228	False	0.9672189540628015
Gene29	1.3517378002663573e-05	1.2625755631034303e-08	0.0009340388075665578	0.0009878415698669181	False	0.945535029156944
Gene30	3.174451760303156e-05	2.484143300268458e-08	0.0007825424633421507	0.000993502512608676	False	0.7876602760544613
Gene31	1.733046848059582e-05	1.3712373890340341e-08	0.0007912292680197015	0.0009890258306636194	False	0.8000086989525848
Gene34	3.2285474349828575e-05	3.791576844802401e-08	0.0011743909362206823	0.0009936705217004221	False	1.1818715666547115
Gene35	3.200533638823634e-05	2.9449908921480764e-08	0.0009201562065851358	0.0009935835171020519	False	0.9260985017836459
Gene36	4.428394745168253e-06	3.5956104718933916e-09	0.0008119444355805231	0.0009850187345274424	False	0.8242933937394087
Gene37	9.49635621447883e-05	8.754675307400368e-08	0.0009218983691926339	0.0010131369368346417	False	0.9099444859575786
Gene38	8.109213551098124e-05	1.2062798552111242e-07	0.0014875423462584404	0.0010088287813235658	True	1.4745240954632666
Gene40	7.677168144260735e-06	5.676019390759976e-09	0.0007393376417062365	0.000986027731034653	False	0.7498142480540978
Gene41	6.59884573177631e-05	6.647302640311572e-08	0.0010073432400915087	0.0010041379159812045	False	1.0031921154049561
Gene42	2.624937513609774e-06	2.4205004050083513e-09	0.0009221173427780824	0.000984458620963334	False	0.9366745571040375
Gene43	1.2410070444307329e-05	1.0916819949150064e-08	0.0008796742934007889	0.0009874976648536903	False	0.8908115175453334
Gene44	7.38487438956155e-05	7.927236237842774e-08	0.0010734422577380392	0.0010065791455557086	False	1.0664260852984562
Gene45	1.1334208788572362e-05	1.2712715493625306e-08	0.0011216235496246385	0.0009871635262359642	False	1.1362084597081579
Gene47	3.045036381148665e-05	2.9623431438911885e-08	0.0009728432678934751	0.0009931005773257083	False	0.9796019558393738
Gene49	4.987121971477925e-05	6.185565051365302e-08	0.0012403075534830402	0.000999132261708169	False	1.2413847505660014
Gene50	8.970992325869618e-06	7.714484226737686e-09	0.0008599365540076827	0.000986429563948131	False	0.871766809751558
Gene52	7.886894510350889e-06	7.962396685216712e-09	0.001009573118388579	0.000986092867363002	False	1.023811399314111
Gene53	3.827805578454339e-05	4.2622108111444414e-08	0.0011134867546918395	0.0009955316837434536	False	1.1184844971531642
Gene55	3.704721740574782e-06	6.853473023111683e-09	0.001849929226276621	0.000984793977844135	True	1.878493642219868
Gene56	2.157265405842628e-06	1.4603161561090378e-09	0.000676929297690489	0.0009843133724448045	False	0.6877172622466305
Gene58	0.00017808650281788443	2.348141301993955e-07	0.0013185397348137165	0.0010389530669567498	False	1.2691042326636737
Gene60	1.0638638335574248e-05	1.0203218490911928e-08	0.0009590718444477681	0.0009869474975779512	False	0.971755687917957
Gene61	3.327492703398883e-05	3.502396302129656e-08	0.0010525631802444275	0.0009939778236201702	False	1.058940305540101
Gene62	0.0001298984759357678	1.1536929683658889e-07	0.0008881497339017026	0.0010239869413331527	False	0.867344785418259
